Architecture,Activation,Optimizer,Sequence_Length,Gradient_Clip,Accuracy,F1_Score,Avg_Epoch_Time(s),Total_Train_Time(s)
LSTM,relu,adam,25,Yes,0.7207,0.7249,1.69,30.57
LSTM,relu,adam,50,Yes,0.7612,0.7591,1.95,32.56
LSTM,relu,adam,100,Yes,0.8136,0.817,2.04,33.03
LSTM,relu,sgd,25,No,0.5053,0.472,1.67,31.54
LSTM,relu,sgd,50,No,0.4948,0.5238,1.53,30.88
LSTM,relu,sgd,100,No,0.5039,0.5038,1.63,31.69
LSTM,relu,sgd,25,Yes,0.5028,0.5366,1.73,31.71
LSTM,relu,sgd,50,Yes,0.5062,0.4753,1.5,30.18
LSTM,relu,sgd,100,Yes,0.5033,0.5278,1.65,30.62
LSTM,relu,rmsprop,25,No,0.7166,0.7359,1.48,29.1
LSTM,relu,rmsprop,50,No,0.7566,0.7771,1.44,29.03
LSTM,relu,rmsprop,100,No,0.7692,0.7537,1.62,30.02
LSTM,relu,rmsprop,25,Yes,0.7192,0.7374,1.64,30.09
LSTM,relu,rmsprop,50,Yes,0.7652,0.779,1.61,29.88
LSTM,relu,rmsprop,100,Yes,0.7993,0.7951,1.77,30.77
LSTM,tanh,adam,25,No,0.7198,0.7156,1.5,29.29
LSTM,tanh,adam,50,No,0.7626,0.7582,1.46,28.96
LSTM,tanh,adam,100,No,0.795,0.802,1.66,30.16
LSTM,tanh,adam,25,Yes,0.722,0.7243,1.9,31.69
LSTM,tanh,adam,50,Yes,0.7683,0.7671,1.74,31.31
LSTM,tanh,adam,100,Yes,0.8091,0.8104,1.87,31.82
LSTM,tanh,sgd,25,No,0.5069,0.5477,1.53,29.86
LSTM,tanh,sgd,50,No,0.506,0.5518,1.36,29.02
LSTM,tanh,sgd,100,No,0.4997,0.5057,1.56,30.01
LSTM,tanh,sgd,25,Yes,0.5023,0.5043,1.68,30.84
LSTM,tanh,sgd,50,Yes,0.5034,0.5295,1.55,29.96
LSTM,tanh,sgd,100,Yes,0.4987,0.4478,1.73,30.95
LSTM,tanh,rmsprop,25,No,0.714,0.6818,1.52,30.04
LSTM,tanh,rmsprop,50,No,0.7441,0.7661,1.52,30.09
LSTM,tanh,rmsprop,100,No,0.7473,0.6939,1.64,30.91
LSTM,tanh,rmsprop,25,Yes,0.7183,0.7071,1.71,31.25
LSTM,tanh,rmsprop,50,Yes,0.7627,0.773,1.72,31.3
LSTM,tanh,rmsprop,100,Yes,0.8042,0.8163,1.85,31.79
Bidirectional LSTM,sigmoid,adam,25,No,0.7247,0.712,2.1,32.8
Bidirectional LSTM,sigmoid,adam,50,No,0.7631,0.7796,2.08,32.8
Bidirectional LSTM,sigmoid,adam,100,No,0.7851,0.7805,2.24,33.77
Bidirectional LSTM,sigmoid,adam,25,Yes,0.7159,0.7441,2.27,33.82
Bidirectional LSTM,sigmoid,adam,50,Yes,0.7556,0.7282,2.23,33.75
Bidirectional LSTM,sigmoid,adam,100,Yes,0.8124,0.8196,2.44,34.98
Bidirectional LSTM,sigmoid,sgd,25,No,0.5,0.0,1.85,32.32
Bidirectional LSTM,sigmoid,sgd,50,No,0.5094,0.5359,1.81,31.71
Bidirectional LSTM,sigmoid,sgd,100,No,0.5,0.0,2.08,33.3
Bidirectional LSTM,sigmoid,sgd,25,Yes,0.5013,0.6536,2.05,32.32
